Node_ID,Timestamp,Data_Type,Data_Value,Encryption_Status,Access_Control_Level,Latency (ms),Energy_Consumption (mJ),Throughput (Mbps),Integrity_Verified
51,2024-11-04 08:10:22.649443,Sensor_Data,582,Not_Encrypted,Nurse,51.57,0.475,9.39,Verified
52,2024-11-04 08:10:32.649443,Medical_Record,234,Encrypted,Doctor,48.39,0.502,12.44,Verified
53,2024-11-04 08:10:42.649443,Medical_Record,248,Not_Encrypted,Nurse,54.6,0.527,11.92,Verified
54,2024-11-04 08:10:52.649443,Medical_Record,504,Not_Encrypted,Admin,43.13,0.62,11.74,Verified
55,2024-11-04 08:11:02.649443,Sensor_Data,822,Encrypted,Nurse,67.39,0.548,13.32,Verified
56,2024-11-04 08:11:12.649443,Sensor_Data,968,Encrypted,Admin,44.69,0.283,9.28,Verified
57,2024-11-04 08:11:22.649443,Sensor_Data,503,Encrypted,Admin,66.58,0.446,9.03,Verified
58,2024-11-04 08:11:32.649443,Sensor_Data,692,Not_Encrypted,Admin,36.12,0.609,9.28,Verified
59,2024-11-04 08:11:42.649443,Medical_Record,656,Encrypted,Admin,50.48,0.654,8.3,Verified
60,2024-11-04 08:11:52.649443,Sensor_Data,350,Not_Encrypted,Admin,51.12,0.458,9.01,Verified
61,2024-11-04 08:12:02.649443,Medical_Record,376,Not_Encrypted,Nurse,54.68,0.642,10.79,Verified
62,2024-11-04 08:12:12.649443,Sensor_Data,685,Not_Encrypted,Nurse,41.8,0.549,11.22,Verified
63,2024-11-04 08:12:22.649443,Medical_Record,377,Not_Encrypted,Admin,53.93,0.651,8.03,Verified
64,2024-11-04 08:12:32.649443,Medical_Record,254,Not_Encrypted,Doctor,19.16,0.346,12.19,Verified
65,2024-11-04 08:12:42.649443,Medical_Record,482,Not_Encrypted,Doctor,44.15,0.239,12.96,Verified
66,2024-11-04 08:12:52.649443,Sensor_Data,303,Not_Encrypted,Admin,55.02,0.302,8.78,Verified
67,2024-11-04 08:13:02.649443,Sensor_Data,292,Not_Encrypted,Doctor,44.87,0.325,7.41,Verified
68,2024-11-04 08:13:12.649443,Medical_Record,574,Not_Encrypted,Doctor,62.71,0.475,8.9,Verified
69,2024-11-04 08:13:22.649443,Medical_Record,433,Encrypted,Admin,49.28,0.313,11.96,Verified
70,2024-11-04 08:13:32.649443,Sensor_Data,121,Not_Encrypted,Admin,49.69,0.4,10.05,Verified
71,2024-11-04 08:13:42.649443,Medical_Record,448,Encrypted,Admin,39.33,0.474,8.47,Verified
72,2024-11-04 08:13:52.649443,Medical_Record,995,Encrypted,Admin,50.99,0.644,8.44,Verified
73,2024-11-04 08:14:02.649443,Sensor_Data,190,Not_Encrypted,Admin,38.87,0.613,9.38,Verified
74,2024-11-04 08:14:12.649443,Medical_Record,41,Not_Encrypted,Nurse,28.48,0.57,6.35,Verified
75,2024-11-04 08:14:22.649443,Medical_Record,677,Encrypted,Nurse,51.44,0.682,7.25,Verified
76,2024-11-04 08:14:32.649443,Sensor_Data,404,Not_Encrypted,Doctor,51.07,0.681,12.92,Verified
77,2024-11-04 08:14:42.649443,Medical_Record,401,Not_Encrypted,Doctor,46.0,0.479,8.97,Verified
78,2024-11-04 08:14:52.649443,Sensor_Data,883,Encrypted,Nurse,59.74,0.396,14.03,Verified
79,2024-11-04 08:15:02.649443,Sensor_Data,49,Not_Encrypted,Doctor,51.46,0.499,7.03,Verified
80,2024-11-04 08:15:12.649443,Medical_Record,401,Encrypted,Nurse,57.36,0.58,10.61,Verified
81,2024-11-04 08:15:22.649443,Sensor_Data,103,Not_Encrypted,Admin,41.74,0.444,6.09,Verified
82,2024-11-04 08:15:32.649443,Medical_Record,482,Not_Encrypted,Admin,36.78,0.677,11.19,Verified
83,2024-11-04 08:15:42.649443,Sensor_Data,96,Not_Encrypted,Admin,69.65,0.539,13.66,Verified
84,2024-11-04 08:15:52.649443,Medical_Record,474,Encrypted,Nurse,43.81,0.448,7.08,Verified
85,2024-11-04 08:16:02.649443,Medical_Record,308,Encrypted,Doctor,52.45,0.41,8.54,Verified
86,2024-11-04 08:16:12.649443,Medical_Record,849,Encrypted,Doctor,66.24,0.61,12.47,Verified
87,2024-11-04 08:16:22.649443,Sensor_Data,100,Encrypted,Doctor,57.74,0.601,7.32,Verified
88,2024-11-04 08:16:32.649443,Sensor_Data,736,Not_Encrypted,Doctor,49.62,0.333,11.59,Verified
89,2024-11-04 08:16:42.649443,Medical_Record,816,Not_Encrypted,Admin,38.74,0.597,6.78,Verified
90,2024-11-04 08:16:52.649443,Sensor_Data,326,Not_Encrypted,Admin,60.8,0.422,10.12,Verified
91,2024-11-04 08:17:02.649443,Sensor_Data,54,Not_Encrypted,Nurse,43.7,0.559,9.46,Verified
92,2024-11-04 08:17:12.649443,Sensor_Data,793,Not_Encrypted,Admin,47.8,0.364,10.95,Verified
93,2024-11-04 08:17:22.649443,Sensor_Data,637,Not_Encrypted,Nurse,41.06,0.535,9.83,Verified
94,2024-11-04 08:17:32.649443,Sensor_Data,640,Encrypted,Nurse,62.32,0.61,12.75,Verified
95,2024-11-04 08:17:42.649443,Medical_Record,693,Encrypted,Admin,46.3,0.39,10.45,Verified
96,2024-11-04 08:17:52.649443,Medical_Record,123,Encrypted,Nurse,56.7,0.639,12.6,Verified
97,2024-11-04 08:18:02.649443,Medical_Record,429,Not_Encrypted,Admin,50.17,0.36,7.97,Verified
98,2024-11-04 08:18:12.649443,Sensor_Data,478,Encrypted,Nurse,47.9,0.67,8.94,Verified
99,2024-11-04 08:18:22.649443,Medical_Record,229,Encrypted,Nurse,49.36,0.538,11.35,Verified
100,2024-11-04 08:18:32.649443,Medical_Record,787,Encrypted,Nurse,36.92,0.336,8.75,Verified
101,2024-11-04 08:18:42.649443,Medical_Record,371,Encrypted,Nurse,55.82,0.415,8.19,Verified
102,2024-11-04 08:18:52.649443,Sensor_Data,854,Encrypted,Nurse,50.21,0.589,8.89,Verified
103,2024-11-04 08:19:02.649443,Sensor_Data,239,Not_Encrypted,Doctor,42.05,0.361,11.1,Verified
104,2024-11-04 08:19:12.649443,Sensor_Data,203,Not_Encrypted,Doctor,56.63,0.523,8.67,Verified
105,2024-11-04 08:19:22.649443,Sensor_Data,643,Encrypted,Doctor,50.06,0.456,4.81,Verified
106,2024-11-04 08:19:32.649443,Sensor_Data,785,Not_Encrypted,Admin,54.9,0.614,12.14,Verified
107,2024-11-04 08:19:42.649443,Medical_Record,184,Not_Encrypted,Nurse,52.31,0.374,14.01,Verified
108,2024-11-04 08:19:52.649443,Medical_Record,53,Not_Encrypted,Nurse,49.63,0.655,8.5,Verified
109,2024-11-04 08:20:02.649443,Sensor_Data,281,Not_Encrypted,Admin,60.08,0.384,10.55,Verified
110,2024-11-04 08:20:12.649443,Sensor_Data,974,Not_Encrypted,Nurse,40.14,0.71,11.07,Verified
111,2024-11-04 08:20:22.649443,Medical_Record,542,Not_Encrypted,Nurse,57.91,0.345,12.77,Verified
112,2024-11-04 08:20:32.649443,Medical_Record,641,Encrypted,Doctor,59.32,0.449,12.7,Verified
113,2024-11-04 08:20:42.649443,Medical_Record,503,Encrypted,Admin,60.6,0.548,13.18,Verified
114,2024-11-04 08:20:52.649443,Sensor_Data,147,Not_Encrypted,Doctor,32.95,0.523,10.53,Verified
115,2024-11-04 08:21:02.649443,Medical_Record,372,Not_Encrypted,Doctor,58.47,0.526,9.73,Verified
116,2024-11-04 08:21:12.649443,Sensor_Data,849,Not_Encrypted,Nurse,35.2,0.511,8.66,Verified
117,2024-11-04 08:21:22.649443,Medical_Record,956,Encrypted,Nurse,44.72,0.456,9.45,Corrupted
118,2024-11-04 08:21:32.649443,Medical_Record,331,Encrypted,Nurse,52.06,0.526,8.29,Verified
119,2024-11-04 08:21:42.649443,Medical_Record,922,Not_Encrypted,Admin,47.73,0.359,9.57,Verified
120,2024-11-04 08:21:52.649443,Sensor_Data,691,Not_Encrypted,Nurse,53.78,0.606,7.35,Verified
121,2024-11-04 08:22:02.649443,Sensor_Data,204,Not_Encrypted,Doctor,69.56,0.595,12.21,Verified
122,2024-11-04 08:22:12.649443,Medical_Record,21,Encrypted,Nurse,38.43,0.486,7.35,Verified
123,2024-11-04 08:22:22.649443,Sensor_Data,666,Encrypted,Admin,55.82,0.396,7.09,Verified
124,2024-11-04 08:22:32.649443,Medical_Record,330,Encrypted,Nurse,51.11,0.652,10.0,Verified
125,2024-11-04 08:22:42.649443,Sensor_Data,512,Not_Encrypted,Doctor,33.39,0.278,11.1,Verified
126,2024-11-04 08:22:52.649443,Sensor_Data,569,Encrypted,Doctor,42.69,0.556,9.91,Verified
127,2024-11-04 08:23:02.649443,Sensor_Data,604,Not_Encrypted,Admin,45.73,0.489,9.57,Verified
128,2024-11-04 08:23:12.649443,Medical_Record,21,Encrypted,Doctor,50.95,0.498,9.89,Verified
129,2024-11-04 08:23:22.649443,Sensor_Data,995,Encrypted,Admin,53.59,0.535,8.61,Verified
130,2024-11-04 08:23:32.649443,Medical_Record,131,Not_Encrypted,Doctor,60.42,0.249,12.21,Verified
131,2024-11-04 08:23:42.649443,Medical_Record,299,Encrypted,Admin,59.52,0.837,12.0,Verified
132,2024-11-04 08:23:52.649443,Sensor_Data,55,Encrypted,Nurse,53.29,0.525,7.27,Verified
133,2024-11-04 08:24:02.649443,Sensor_Data,806,Encrypted,Admin,47.57,0.363,7.37,Verified
134,2024-11-04 08:24:12.649443,Sensor_Data,892,Encrypted,Admin,46.56,0.639,8.3,Verified
135,2024-11-04 08:24:22.649443,Medical_Record,662,Not_Encrypted,Nurse,48.47,0.361,10.64,Verified
136,2024-11-04 08:24:32.649443,Sensor_Data,951,Encrypted,Nurse,60.19,0.405,11.6,Verified
137,2024-11-04 08:24:42.649443,Medical_Record,428,Encrypted,Admin,48.8,0.587,7.42,Verified
138,2024-11-04 08:24:52.649443,Sensor_Data,268,Encrypted,Doctor,50.91,0.389,9.22,Verified
139,2024-11-04 08:25:02.649443,Medical_Record,324,Not_Encrypted,Doctor,66.35,0.536,7.81,Verified
140,2024-11-04 08:25:12.649443,Medical_Record,808,Not_Encrypted,Nurse,53.46,0.34,10.74,Verified
141,2024-11-04 08:25:22.649443,Medical_Record,686,Encrypted,Admin,46.14,0.638,10.99,Verified
142,2024-11-04 08:25:32.649443,Sensor_Data,419,Encrypted,Doctor,49.11,0.493,10.74,Verified
143,2024-11-04 08:25:42.649443,Medical_Record,388,Not_Encrypted,Nurse,51.65,0.515,6.43,Verified
144,2024-11-04 08:25:52.649443,Sensor_Data,506,Encrypted,Admin,57.79,0.411,9.96,Verified
145,2024-11-04 08:26:02.649443,Sensor_Data,984,Encrypted,Admin,58.89,0.507,9.15,Verified
146,2024-11-04 08:26:12.649443,Sensor_Data,275,Encrypted,Doctor,42.71,0.572,14.46,Verified
147,2024-11-04 08:26:22.649443,Sensor_Data,659,Encrypted,Admin,53.22,0.576,9.94,Verified
148,2024-11-04 08:26:32.649443,Sensor_Data,606,Not_Encrypted,Admin,43.84,0.33,11.38,Verified
149,2024-11-04 08:26:42.649443,Sensor_Data,881,Encrypted,Doctor,65.97,0.538,11.6,Verified
150,2024-11-04 08:26:52.649443,Medical_Record,448,Not_Encrypted,Nurse,28.94,0.474,8.29,Corrupted
151,2024-11-04 08:27:02.649443,Sensor_Data,956,Encrypted,Admin,48.89,0.601,6.98,Verified
152,2024-11-04 08:27:12.649443,Medical_Record,846,Encrypted,Doctor,32.61,0.655,9.03,Verified
153,2024-11-04 08:27:22.649443,Medical_Record,29,Encrypted,Doctor,44.51,0.56,9.15,Verified
154,2024-11-04 08:27:32.649443,Sensor_Data,475,Encrypted,Admin,61.31,0.34,6.63,Verified
155,2024-11-04 08:27:42.649443,Sensor_Data,769,Encrypted,Nurse,46.64,0.335,10.19,Verified
156,2024-11-04 08:27:52.649443,Sensor_Data,295,Not_Encrypted,Doctor,37.52,0.626,9.78,Verified
157,2024-11-04 08:28:02.649443,Sensor_Data,388,Not_Encrypted,Nurse,31.89,0.704,7.48,Verified
158,2024-11-04 08:28:12.649443,Sensor_Data,562,Encrypted,Doctor,39.65,0.432,9.09,Verified
159,2024-11-04 08:28:22.649443,Medical_Record,354,Not_Encrypted,Nurse,61.57,0.576,12.33,Verified
160,2024-11-04 08:28:32.649443,Medical_Record,369,Encrypted,Doctor,63.4,0.49,10.5,Verified
161,2024-11-04 08:28:42.649443,Medical_Record,815,Not_Encrypted,Admin,54.69,0.391,9.83,Verified
162,2024-11-04 08:28:52.649443,Sensor_Data,760,Not_Encrypted,Doctor,48.89,0.462,8.81,Verified
163,2024-11-04 08:29:02.649443,Sensor_Data,699,Encrypted,Doctor,59.43,0.47,9.05,Verified
164,2024-11-04 08:29:12.649443,Medical_Record,190,Encrypted,Doctor,37.82,0.413,10.36,Verified
165,2024-11-04 08:29:22.649443,Medical_Record,764,Encrypted,Doctor,57.91,0.634,7.82,Verified
166,2024-11-04 08:29:32.649443,Sensor_Data,824,Encrypted,Doctor,44.29,0.528,10.47,Verified
167,2024-11-04 08:29:42.649443,Sensor_Data,492,Encrypted,Admin,64.74,0.557,5.94,Verified
168,2024-11-04 08:29:52.649443,Sensor_Data,501,Encrypted,Admin,56.08,0.639,10.54,Verified
169,2024-11-04 08:30:02.649443,Medical_Record,842,Encrypted,Doctor,24.87,0.598,10.04,Verified
170,2024-11-04 08:30:12.649443,Medical_Record,726,Encrypted,Nurse,34.0,0.33,12.66,Verified
171,2024-11-04 08:30:22.649443,Sensor_Data,35,Not_Encrypted,Doctor,52.78,0.433,10.88,Verified
172,2024-11-04 08:30:32.649443,Sensor_Data,685,Encrypted,Doctor,60.25,0.477,12.13,Verified
173,2024-11-04 08:30:42.649443,Sensor_Data,192,Not_Encrypted,Admin,41.21,0.442,12.82,Verified
174,2024-11-04 08:30:52.649443,Medical_Record,394,Encrypted,Doctor,46.95,0.676,12.02,Verified
175,2024-11-04 08:31:02.649443,Medical_Record,752,Not_Encrypted,Nurse,47.24,0.585,12.06,Corrupted
176,2024-11-04 08:31:12.649443,Medical_Record,104,Not_Encrypted,Admin,55.09,0.459,11.16,Verified
177,2024-11-04 08:31:22.649443,Sensor_Data,246,Encrypted,Doctor,59.99,0.414,5.91,Verified
178,2024-11-04 08:31:32.649443,Medical_Record,883,Encrypted,Nurse,43.68,0.653,5.91,Verified
179,2024-11-04 08:31:42.649443,Medical_Record,515,Encrypted,Doctor,62.47,0.533,10.87,Verified
180,2024-11-04 08:31:52.649443,Medical_Record,178,Encrypted,Doctor,46.47,0.585,8.7,Verified
181,2024-11-04 08:32:02.649443,Medical_Record,824,Not_Encrypted,Admin,55.52,0.377,10.53,Verified
182,2024-11-04 08:32:12.649443,Sensor_Data,816,Encrypted,Nurse,55.62,0.512,10.16,Verified
183,2024-11-04 08:32:22.649443,Medical_Record,133,Not_Encrypted,Doctor,49.67,0.397,8.14,Verified
184,2024-11-04 08:32:32.649443,Medical_Record,98,Not_Encrypted,Admin,71.81,0.551,8.31,Corrupted
185,2024-11-04 08:32:42.649443,Sensor_Data,848,Encrypted,Nurse,48.28,0.459,6.83,Verified
186,2024-11-04 08:32:52.649443,Sensor_Data,998,Encrypted,Nurse,41.91,0.769,9.17,Verified
187,2024-11-04 08:33:02.649443,Sensor_Data,977,Not_Encrypted,Admin,63.44,0.358,9.87,Verified
188,2024-11-04 08:33:12.649443,Medical_Record,573,Encrypted,Nurse,46.37,0.429,12.19,Verified
189,2024-11-04 08:33:22.649443,Medical_Record,434,Encrypted,Admin,78.52,0.618,11.53,Verified
190,2024-11-04 08:33:32.649443,Medical_Record,855,Not_Encrypted,Nurse,44.92,0.399,12.83,Verified
191,2024-11-04 08:33:42.649443,Sensor_Data,389,Encrypted,Admin,62.87,0.637,8.48,Verified
192,2024-11-04 08:33:52.649443,Sensor_Data,624,Encrypted,Nurse,46.14,0.436,9.27,Verified
193,2024-11-04 08:34:02.649443,Sensor_Data,736,Not_Encrypted,Nurse,56.02,0.558,7.41,Verified
194,2024-11-04 08:34:12.649443,Sensor_Data,362,Not_Encrypted,Admin,77.89,0.548,4.43,Verified
195,2024-11-04 08:34:22.649443,Sensor_Data,452,Encrypted,Admin,55.96,0.626,7.52,Verified
196,2024-11-04 08:34:32.649443,Medical_Record,177,Not_Encrypted,Nurse,46.57,0.515,9.36,Verified
197,2024-11-04 08:34:42.649443,Medical_Record,458,Encrypted,Admin,40.37,0.671,7.01,Verified
198,2024-11-04 08:34:52.649443,Medical_Record,969,Not_Encrypted,Nurse,29.41,0.553,13.05,Verified
199,2024-11-04 08:35:02.649443,Sensor_Data,525,Encrypted,Doctor,51.99,0.45,12.85,Verified
200,2024-11-04 08:35:12.649443,Sensor_Data,223,Encrypted,Doctor,61.21,0.558,10.5,Verified
201,2024-11-04 08:35:22.649443,Sensor_Data,950,Not_Encrypted,Nurse,61.94,0.464,11.09,Verified
202,2024-11-04 08:35:32.649443,Sensor_Data,617,Not_Encrypted,Doctor,65.8,0.448,12.0,Verified
203,2024-11-04 08:35:42.649443,Medical_Record,659,Not_Encrypted,Admin,30.37,0.325,9.46,Verified
204,2024-11-04 08:35:52.649443,Sensor_Data,648,Encrypted,Admin,47.97,0.624,11.31,Verified
205,2024-11-04 08:36:02.649443,Medical_Record,657,Not_Encrypted,Doctor,48.5,0.45,10.44,Verified
206,2024-11-04 08:36:12.649443,Medical_Record,170,Not_Encrypted,Nurse,49.38,0.412,8.39,Verified
207,2024-11-04 08:36:22.649443,Medical_Record,146,Not_Encrypted,Nurse,58.86,0.492,9.76,Verified
208,2024-11-04 08:36:32.649443,Sensor_Data,373,Encrypted,Doctor,56.44,0.351,8.21,Verified
209,2024-11-04 08:36:42.649443,Medical_Record,30,Not_Encrypted,Nurse,50.67,0.488,5.03,Verified
210,2024-11-04 08:36:52.649443,Medical_Record,179,Encrypted,Admin,62.35,0.391,7.98,Verified
211,2024-11-04 08:37:02.649443,Medical_Record,292,Not_Encrypted,Nurse,50.78,0.584,14.14,Verified
212,2024-11-04 08:37:12.649443,Medical_Record,80,Encrypted,Admin,49.71,0.49,10.75,Verified
213,2024-11-04 08:37:22.649443,Medical_Record,623,Not_Encrypted,Doctor,60.97,0.51,11.51,Verified
214,2024-11-04 08:37:32.649443,Medical_Record,139,Encrypted,Admin,28.85,0.434,12.04,Verified
215,2024-11-04 08:37:42.649443,Medical_Record,91,Encrypted,Admin,51.7,0.52,10.89,Verified
216,2024-11-04 08:37:52.649443,Medical_Record,544,Encrypted,Nurse,52.79,0.471,10.28,Verified
217,2024-11-04 08:38:02.649443,Sensor_Data,477,Not_Encrypted,Admin,48.6,0.479,10.41,Verified
218,2024-11-04 08:38:12.649443,Medical_Record,622,Not_Encrypted,Nurse,53.35,0.444,5.04,Verified
219,2024-11-04 08:38:22.649443,Sensor_Data,458,Encrypted,Admin,50.09,0.741,9.76,Verified
220,2024-11-04 08:38:32.649443,Sensor_Data,843,Encrypted,Nurse,45.71,0.439,9.12,Verified
221,2024-11-04 08:38:42.649443,Medical_Record,757,Not_Encrypted,Admin,67.68,0.488,10.53,Verified
222,2024-11-04 08:38:52.649443,Sensor_Data,544,Encrypted,Doctor,70.56,0.5,11.35,Verified
223,2024-11-04 08:39:02.649443,Sensor_Data,374,Encrypted,Nurse,38.5,0.387,8.73,Verified
224,2024-11-04 08:39:12.649443,Sensor_Data,527,Encrypted,Admin,49.05,0.504,11.79,Verified
225,2024-11-04 08:39:22.649443,Medical_Record,15,Encrypted,Doctor,65.34,0.716,12.23,Verified
226,2024-11-04 08:39:32.649443,Sensor_Data,106,Encrypted,Doctor,32.61,0.719,9.38,Verified
227,2024-11-04 08:39:42.649443,Medical_Record,789,Encrypted,Nurse,35.62,0.537,9.39,Verified
228,2024-11-04 08:39:52.649443,Medical_Record,124,Not_Encrypted,Doctor,34.8,0.437,9.09,Verified
229,2024-11-04 08:40:02.649443,Sensor_Data,175,Encrypted,Admin,76.99,0.327,6.28,Verified
230,2024-11-04 08:40:12.649443,Medical_Record,808,Encrypted,Admin,48.72,0.489,11.49,Verified
231,2024-11-04 08:40:22.649443,Medical_Record,630,Encrypted,Nurse,34.8,0.464,10.14,Verified
232,2024-11-04 08:40:32.649443,Sensor_Data,970,Not_Encrypted,Admin,42.35,0.539,9.4,Verified
233,2024-11-04 08:40:42.649443,Sensor_Data,358,Not_Encrypted,Doctor,57.4,0.322,11.36,Verified
234,2024-11-04 08:40:52.649443,Sensor_Data,193,Encrypted,Admin,72.53,0.572,6.51,Verified
235,2024-11-04 08:41:02.649443,Medical_Record,327,Not_Encrypted,Doctor,32.28,0.429,11.83,Verified
236,2024-11-04 08:41:12.649443,Sensor_Data,161,Not_Encrypted,Doctor,54.96,0.35,10.79,Verified
237,2024-11-04 08:41:22.649443,Sensor_Data,399,Encrypted,Nurse,44.13,0.608,7.87,Verified
238,2024-11-04 08:41:32.649443,Sensor_Data,769,Encrypted,Admin,45.8,0.368,9.41,Verified
239,2024-11-04 08:41:42.649443,Sensor_Data,715,Encrypted,Doctor,69.52,0.651,8.1,Verified
240,2024-11-04 08:41:52.649443,Medical_Record,237,Not_Encrypted,Nurse,48.34,0.557,9.57,Verified
241,2024-11-04 08:42:02.649443,Medical_Record,467,Not_Encrypted,Doctor,45.64,0.347,12.08,Verified
242,2024-11-04 08:42:12.649443,Medical_Record,538,Not_Encrypted,Admin,59.93,0.525,9.5,Verified
243,2024-11-04 08:42:22.649443,Medical_Record,312,Not_Encrypted,Admin,58.2,0.484,9.88,Verified
244,2024-11-04 08:42:32.649443,Medical_Record,812,Encrypted,Admin,27.08,0.518,12.31,Verified
245,2024-11-04 08:42:42.649443,Medical_Record,639,Encrypted,Admin,35.69,0.553,9.25,Verified
246,2024-11-04 08:42:52.649443,Sensor_Data,518,Not_Encrypted,Nurse,49.44,0.45,8.65,Verified
247,2024-11-04 08:43:02.649443,Medical_Record,459,Not_Encrypted,Doctor,32.22,0.563,8.68,Verified
248,2024-11-04 08:43:12.649443,Medical_Record,416,Encrypted,Admin,35.46,0.528,9.6,Verified
